0.000	 9.831E-03   2.601E-05   8.217E-08   1.044E-05   2.452E-01   4.386E-10
0.004	 9.832E-03   2.603E-05   8.222E-08   1.045E-05   2.455E-01   4.390E-10
0.007	 9.833E-03   2.604E-05   8.227E-08   1.045E-05   2.458E-01   4.392E-10
0.015	 9.835E-03   2.607E-05   8.238E-08   1.045E-05   2.464E-01   4.399E-10
0.025	 9.838E-03   2.612E-05   8.252E-08   1.046E-05   2.471E-01   4.408E-10
0.050	 9.844E-03   2.622E-05   8.288E-08   1.047E-05   2.490E-01   4.430E-10
0.075	 9.852E-03   2.633E-05   8.323E-08   1.049E-05   2.509E-01   4.451E-10
0.100	 9.759E-03   2.644E-05   8.357E-08   1.050E-05   2.527E-01   4.471E-10
0.15	 9.775E-03   2.665E-05   8.425E-08   1.053E-05   2.562E-01   4.511E-10
0.20	 9.796E-03   2.686E-05   8.493E-08   1.056E-05   2.597E-01   4.549E-10
-0.004	 9.830E-03   2.599E-05   8.211E-08   1.044E-05   2.449E-01   4.382E-10
-0.007	 9.829E-03   2.598E-05   8.207E-08   1.044E-05   2.447E-01   4.380E-10
-0.015	 9.827E-03   2.594E-05   8.195E-08   1.043E-05   2.441E-01   4.372E-10
-0.020	 9.825E-03   2.592E-05   8.188E-08   1.043E-05   2.437E-01   4.368E-10
-0.025	 9.824E-03   2.590E-05   8.181E-08   1.043E-05   2.433E-01   4.363E-10
-0.050	 9.816E-03   2.578E-05   8.144E-08   1.041E-05   2.413E-01   4.340E-10
-0.075	 9.808E-03   2.567E-05   8.107E-08   1.040E-05   2.393E-01   4.316E-10
-0.100	 9.799E-03   2.556E-05   8.070E-08   1.038E-05   2.372E-01   4.291E-10
-0.15	 9.781E-03   2.532E-05   7.994E-08   1.035E-05   2.331E-01   4.240E-10
-0.20	 9.864E-03   2.509E-05   7.917E-08   1.031E-05   2.287E-01   4.186E-10
